name,type,id_first,id,type,date,date_unixtime,from,from_id,photo,photo_file_size,width,height,text,text_entities,reply_to_message_id,edited,edited_unixtime,reactions,file,file_name,file_size,thumbnail,thumbnail_file_size,mime_type,media_type,sticker_emoji,forwarded_from,duration_seconds,saved_from,author
💬 Marketing Practicum Chat,private_supergroup,1782474569,42471,message,2025-02-01T07:35:54,1738384554,Pasha Sannikov,user1272493086,photos/photo_1796@01-02-2025_07-35-54.jpg,29235.0,1280.0,362.0,"['Доброе утро, люди! Это ОК, в РСЯ алгоритмы выбрали только 1 площадку для объявлений? Объект рекламы - ""консультации для IT компаний"". Почему решили все объявления показывать на ', {'type': 'link', 'text': 'game.yandex.ru'}, ', Я в корректировках рекламной кампании поставил ограничения аудитории по возрасту, от 24 лет... Получается, что все айтишники старше 24 лет обитают в играх Яндекс?']","[{'type': 'plain', 'text': 'Доброе утро, люди! Это ОК, в РСЯ алгоритмы выбрали только 1 площадку для объявлений? Объект рекламы - ""консультации для IT компаний"". Почему решили все объявления показывать на '}, {'type': 'link', 'text': 'game.yandex.ru'}, {'type': 'plain', 'text': ', Я в корректировках рекламной кампании поставил ограничения аудитории по возрасту, от 24 лет... Получается, что все айтишники старше 24 лет обитают в играх Яндекс?'}]",,,,,,,,,,,,,,,,
💬 Marketing Practicum Chat,private_supergroup,1782474569,42472,message,2025-02-01T07:40:03,1738384803,Pasha Sannikov,user1272493086,photos/photo_1797@01-02-2025_07-40-03.jpg,34791.0,1011.0,431.0,"А вот регионы, в которых живут ITшники с интересом к нашему предложению. Эти люди провели на сайте больше 1 минуты","[{'type': 'plain', 'text': 'А вот регионы, в которых живут ITшники с интересом к нашему предложению. Эти люди провели на сайте больше 1 минуты'}]",,,,,,,,,,,,,,,,
💬 Marketing Practicum Chat,private_supergroup,1782474569,42473,message,2025-02-01T07:48:53,1738385333,Pasha Sannikov,user1272493086,photos/photo_1798@01-02-2025_07-48-53.jpg,31758.0,952.0,323.0,"Если смотреть по интересам, то кажется, что аудитория релевантная","[{'type': 'plain', 'text': 'Если смотреть по интересам, то кажется, что аудитория релевантная'}]",,,,,,,,,,,,,,,,
💬 Marketing Practicum Chat,private_supergroup,1782474569,42474,message,2025-02-01T07:50:31,1738385431,Pasha Sannikov,user1272493086,photos/photo_1799@01-02-2025_07-50-31.jpg,37081.0,506.0,659.0,А путь пользователя почему-то выглядит так. Конверсий в заявку нету😭,"[{'type': 'plain', 'text': 'А путь пользователя почему-то выглядит так. Конверсий в заявку нету😭'}]",,,,,,,,,,,,,,,,
💬 Marketing Practicum Chat,private_supergroup,1782474569,42475,message,2025-02-01T08:12:42,1738386762,Данилов | Маркетолог,user1164775873,photos/photo_1800@01-02-2025_08-12-42.jpg,78021.0,590.0,1280.0,Опять он,"[{'type': 'plain', 'text': 'Опять он'}]",,,,,,,,,,,,,,,,
💬 Marketing Practicum Chat,private_supergroup,1782474569,42476,message,2025-02-01T08:12:42,1738386762,Данилов | Маркетолог,user1164775873,photos/photo_1801@01-02-2025_08-12-42.jpg,79377.0,590.0,1280.0,,[],,,,,,,,,,,,,,,,
💬 Marketing Practicum Chat,private_supergroup,1782474569,42477,message,2025-02-01T08:15:13,1738386913,Андрей Дамаскин,user87502689,,,,,Потому и выбрал,"[{'type': 'plain', 'text': 'Потому и выбрал'}]",42473.0,,,,,,,,,,,,,,,
💬 Marketing Practicum Chat,private_supergroup,1782474569,42478,message,2025-02-01T08:15:32,1738386932,Андрей Дамаскин,user87502689,,,,,"Ну если это вся статистика, то пока алгоритм еще ничего не выбрал","[{'type': 'plain', 'text': 'Ну если это вся статистика, то пока алгоритм еще ничего не выбрал'}]",,,,,,,,,,,,,,,,
💬 Marketing Practicum Chat,private_supergroup,1782474569,42479,message,2025-02-01T08:16:44,1738387004,Андрей Дамаскин,user87502689,,,,,"Чтобы 34 визита из РСЯ превратились в заявку нужна конверсия на уровне 3%, для необученной РК не реально же","[{'type': 'plain', 'text': 'Чтобы 34 визита из РСЯ превратились в заявку нужна конверсия на уровне 3%, для необученной РК не реально же'}]",42474.0,,,,,,,,,,,,,,,
💬 Marketing Practicum Chat,private_supergroup,1782474569,42480,message,2025-02-01T08:17:32,1738387052,Данилов | Маркетолог,user1164775873,,,,,Батя привет,"[{'type': 'plain', 'text': 'Батя привет'}]",42477.0,,,,,,,,,,,,,,,
💬 Marketing Practicum Chat,private_supergroup,1782474569,42481,message,2025-02-01T08:19:41,1738387181,Андрей Дамаскин,user87502689,,,,,Привет),"[{'type': 'plain', 'text': 'Привет)'}]",42480.0,2025-02-01T08:44:57,1738388697,"[{'type': 'emoji', 'count': 1, 'emoji': '❤', 'recent': [{'from': 'Данилов | Маркетолог', 'from_id': 'user1164775873', 'date': '2025-02-01T08:44:57'}]}]",,,,,,,,,,,,
💬 Marketing Practicum Chat,private_supergroup,1782474569,42482,message,2025-02-01T08:20:28,1738387228,Андрей Дамаскин,user87502689,,,,,"Что такое Яндекс Игры? Я вот сижу, работаю, приходит ребенок, скучно ему, я открыл ему Яндекс Игры на своем телефоне и дал поиграть чтобы он дал мне закончить работу, все.","[{'type': 'plain', 'text': 'Что такое Яндекс Игры? Я вот сижу, работаю, приходит ребенок, скучно ему, я открыл ему Яндекс Игры на своем телефоне и дал поиграть чтобы он дал мне закончить работу, все.'}]",42471.0,2025-02-01T14:18:15,1738408695,"[{'type': 'emoji', 'count': 1, 'emoji': '👍', 'recent': [{'from': 'Олег', 'from_id': 'user5392944830', 'date': '2025-02-01T14:18:15'}]}]",,,,,,,,,,,,
💬 Marketing Practicum Chat,private_supergroup,1782474569,42483,message,2025-02-01T08:20:39,1738387239,Pasha Sannikov,user1272493086,,,,,"Привет, Андрей. Спасибо за комментарий. Будем учить РК )","[{'type': 'plain', 'text': 'Привет, Андрей. Спасибо за комментарий. Будем учить РК )'}]",42479.0,,,,,,,,,,,,,,,
💬 Marketing Practicum Chat,private_supergroup,1782474569,42485,message,2025-02-01T08:22:13,1738387333,Pasha Sannikov,user1272493086,,,,,"Ребенок открыл сайт и говорил: ""Папа, это для тебя"" )","[{'type': 'plain', 'text': 'Ребенок открыл сайт и говорил: ""Папа, это для тебя"" )'}]",42482.0,,,,,,,,,,,,,,,
💬 Marketing Practicum Chat,private_supergroup,1782474569,42486,message,2025-02-01T08:23:42,1738387422,Андрей Дамаскин,user87502689,,,,,"Вряд ли, он же занят, кликает на баблы, стреляет из лука, проводит героя между врагами, прыгает по камням и тд","[{'type': 'plain', 'text': 'Вряд ли, он же занят, кликает на баблы, стреляет из лука, проводит героя между врагами, прыгает по камням и тд'}]",42485.0,,,,,,,,,,,,,,,
💬 Marketing Practicum Chat,private_supergroup,1782474569,42487,message,2025-02-01T08:24:32,1738387472,Pasha Sannikov,user1272493086,,,,,"Ок. А как тогда получается, что пользователь открывает сайт на Яндекс Играх?","[{'type': 'plain', 'text': 'Ок. А как тогда получается, что пользователь открывает сайт на Яндекс Играх?'}]",42486.0,,,,,,,,,,,,,,,
💬 Marketing Practicum Chat,private_supergroup,1782474569,42488,message,2025-02-01T08:26:08,1738387568,Андрей Дамаскин,user87502689,,,,,В смысле?,"[{'type': 'plain', 'text': 'В смысле?'}]",42487.0,,,,,,,,,,,,,,,
💬 Marketing Practicum Chat,private_supergroup,1782474569,42489,message,2025-02-01T08:26:50,1738387610,Андрей Дамаскин,user87502689,,,,,"Яндекс Игры это сайт с браузерными играми, я открыл их ребенку и дал, я даже не смотрел чего там загрузилось, это как Яндекс Погода, мне нужно одну цифру со всего сайта увидеть и одну иконку, что сегодня +3 и нет дождя","[{'type': 'plain', 'text': 'Яндекс Игры это сайт с браузерными играми, я открыл их ребенку и дал, я даже не смотрел чего там загрузилось, это как Яндекс Погода, мне нужно одну цифру со всего сайта увидеть и одну иконку, что сегодня +3 и нет дождя'}]",,2025-02-01T14:21:02,1738408862,"[{'type': 'emoji', 'count': 1, 'emoji': '💯', 'recent': [{'from': 'Олег', 'from_id': 'user5392944830', 'date': '2025-02-01T14:21:02'}]}]",,,,,,,,,,,,
