user,messages,degree,betweenness,closeness,pagerank,in_degree,out_degree
Irina,89,0.2076923076923077,0.009601812523853758,0.21746944644140903,0.07417748212356502,13,14
Andrey Novikov,79,0.2,0.012237334260448847,0.22161172161172163,0.06813449682292229,16,10
Илья,71,0.3230769230769231,0.06450432172868854,0.250206782464847,0.06416505386923413,23,19
Мариян Умагалова,78,0.25384615384615383,0.023572934099485267,0.22161172161172163,0.05963983592895615,16,17
Sergey,52,0.2846153846153846,0.03896550992657762,0.22812971342383107,0.05554736809310914,19,18
Ilya Plotnikov,33,0.16923076923076924,0.011073329974798762,0.21746944644140903,0.036348974873663065,13,9
Ksenia,34,0.17692307692307693,0.014081112546417132,0.18918073796122575,0.035545742413639635,12,11
Anna Glagoleva,34,0.13846153846153847,0.0035211427742733665,0.19553975436328377,0.03504069465815462,9,9
"Катерина Ефремова [+2,5ч мск]",28,0.16923076923076924,0.022360856694488177,0.20234113712374582,0.028222291260580148,12,10
Arsen (არსენა) Хабибуллин,39,0.1,0.005265591428382125,0.1817908653846154,0.0281503453114613,7,6
Алексей Яцына,26,0.16923076923076924,0.013727845618204344,0.207760989010989,0.02393011143905841,11,11
Valerii Iliushin,21,0.18461538461538463,0.016244891780152114,0.18765508684863524,0.02360278536480531,12,12
Юлия,7,0.05384615384615385,0.012731067382230173,0.12646321070234112,0.018471366151950264,4,3
Aleksey Voronin,28,0.13076923076923078,0.005933614955835087,0.20059681697612733,0.017095992454376475,8,9
Darya,18,0.1,0.0019641818182445235,0.17495662232504336,0.01707008126966499,7,6
Дмитрий Лукьянов,15,0.08461538461538462,0.01380904336817151,0.1686176142697882,0.014476794521723487,6,5
George,20,0.14615384615384616,0.009387400070245378,0.17899408284023668,0.0117282068382983,8,11
Равиль,4,0.015384615384615385,0.0,0.09776987718164189,0.01015387314871297,1,1
Алексей Савельев,8,0.09230769230769231,0.005750485988222549,0.18322228952150213,0.010031926996450967,6,6
Рома,8,0.06153846153846154,0.00026535480023852115,0.1817908653846154,0.009187975985688305,5,3
Александр Рожков,8,0.023076923076923078,0.0,0.14916173570019725,0.0090569603978558,1,2
Eugen O,3,0.015384615384615385,0.0,0.020512820512820513,0.007759461296748586,2,0
Irina Niki,4,0.038461538461538464,0.013435627679813726,0.16740453790813503,0.007535054458348177,3,2
Ринат,9,0.03076923076923077,0.00655933214072749,0.12119391025641024,0.007439086899198997,1,3
Oleg Zhukov,7,0.06153846153846154,0.0008420885746467143,0.1662087912087912,0.007142019089730411,4,4
Руслан,9,0.06153846153846154,0.0007361738175691664,0.16503000545553737,0.0069942908498004715,4,4
Лиличка,7,0.05384615384615385,0.003279666070363745,0.156169334021683,0.006982207838900014,2,5
Vasily Artemyev,6,0.038461538461538464,0.00024349035976942957,0.17365097588978187,0.006971254636324603,3,2
Vadim,10,0.046153846153846156,8.688985433171479e-05,0.1510989010989011,0.0063927842594205175,3,3
Anastasiia Dudnikova,2,0.023076923076923078,0.00011926058437686345,0.01730769230769231,0.006328974922585398,2,1
