user,messages,degree,betweenness,closeness,pagerank,in_degree,out_degree
Олег,563,0.7261904761904762,0.121151765370025,0.4772727272727273,0.15833596472615621,31,30
Андрей Дамаскин,614,0.7261904761904762,0.11585223793320887,0.5080645161290323,0.13613503876583705,36,25
Pasha Sannikov,455,0.6309523809523809,0.11567347232655523,0.4678217821782178,0.11251130261277142,29,24
Алексей Ермолов,315,0.5714285714285714,0.0669914512832403,0.44999999999999996,0.07114025446908011,28,20
Данилов | Маркетолог,405,0.42857142857142855,0.041631628030585205,0.41814159292035397,0.05621721083636711,18,18
Екатерина,160,0.30952380952380953,0.032060614404063825,0.39375000000000004,0.04470550403034106,14,12
Ed,281,0.44047619047619047,0.059957511711586836,0.40384615384615385,0.04222271496446291,18,19
Андрей,131,0.3571428571428571,0.05285102947854796,0.41086956521739126,0.03889496684041323,17,13
Марина,66,0.20238095238095238,0.028444475636183644,0.3720472440944882,0.014787542277565305,10,7
Виктория Маркетолог,20,0.22619047619047616,0.03928499140924473,0.36627906976744184,0.014688255417832039,12,7
Люба Редько,36,0.19047619047619047,0.004104656040339951,0.35795454545454547,0.014338998956513048,8,8
S,46,0.19047619047619047,0.0007140648922060281,0.3526119402985075,0.014085799846026325,8,8
Екатерина Ильина,58,0.2857142857142857,0.015003922179051266,0.369140625,0.013302767717118023,12,12
Никита,37,0.2857142857142857,0.007072903608415403,0.36346153846153845,0.012437563688504058,13,11
Дмитрий,85,0.25,0.018661017617558055,0.36346153846153845,0.010038894282616728,9,12
Sonia Troshina,41,0.16666666666666666,0.0005431642049542222,0.3448905109489051,0.009583656856169897,6,8
Tatyana Stremousova,33,0.15476190476190477,0.001599781935410163,0.33992805755395683,0.009311524808365612,6,7
вика царькова,7,0.09523809523809523,0.00975944594705352,0.273121387283237,0.006936983228800188,3,5
💬 Marketing Practicum Chat,4,0.03571428571428571,0.0,0.3105218135158255,0.006691505089131371,3,0
Александр Костюченко,11,0.10714285714285714,0.0003442340791738382,0.328125,0.006330699481610573,4,5
Andrey Goman,25,0.19047619047619047,0.010279325920461893,0.3526119402985075,0.0061713370751611445,7,9
Виталий 🚀,10,0.08333333333333333,0.0014352981435597609,0.3068181818181818,0.00599473477169814,4,3
Renata,21,0.09523809523809523,0.0003424039783764396,0.3214285714285714,0.005899911229640016,4,4
Эльдар,15,0.09523809523809523,0.0003695052318116001,0.31925675675675674,0.005852556637779472,4,4
Alina Zain,16,0.10714285714285714,0.0011906624643285573,0.34239130434782605,0.0055722625918902206,5,4
Валентина [8-17мск] Султанова,2,0.03571428571428571,0.008605851979345954,0.25,0.005468915063726426,2,1
Анастасия Новоселова,33,0.15476190476190477,0.00035692657250316454,0.33274647887323944,0.005405629889436545,4,9
Аleksandr Shapovalov,11,0.11904761904761904,0.00047212660164467387,0.3448905109489051,0.005006576231075712,5,5
Татьяна,13,0.14285714285714285,0.005344114925718653,0.3375,0.00499904571592906,5,7
Elena Molvinskikh,5,0.05952380952380952,0.008778106593738868,0.2747093023255814,0.00476558129556837,3,2
Татьяна Коняхина,3,0.023809523809523808,0.0,0.20698608661571624,0.004711165765673536,2,0
Vladislav Baryshnikov,19,0.11904761904761904,0.000348176875715602,0.3304195804195804,0.004139121904777609,3,7
Word Press,8,0.09523809523809523,0.0006191432396251672,0.3236301369863014,0.003978148209313223,4,4
Денис Вин,3,0.03571428571428571,7.171543316121629e-05,0.24868421052631579,0.0038959276590986693,2,1
Ivan,12,0.07142857142857142,0.0,0.3214285714285714,0.003822871941798256,3,3
Anna Smirnova,5,0.047619047619047616,0.0,0.25,0.0037316365829638456,1,3
Сергей Лунев,5,0.047619047619047616,0.0,0.3214285714285714,0.0035331012267844856,2,2
Артур,3,0.023809523809523808,0.0,0.2669491525423729,0.003505917210251004,1,1
Нина / Копирайтер,3,0.05952380952380952,0.0005583558724694697,0.2684659090909091,0.0033657171682488062,2,3
Mary Head,3,0.07142857142857142,0.0,0.315,0.003341051814578188,2,4
Елена Авдеева,5,0.03571428571428571,0.0,0.2898773006134969,0.0033283009952391617,1,2
Reputation bot,2,0.023809523809523808,0.0,0.28024083196496985,0.0032969914765147244,2,0
Полина,3,0.03571428571428571,0.0,0.3166357452071738,0.0032740857140434107,3,0
Oleg Vladimirovich,3,0.023809523809523808,0.0,0.29347826086956524,0.003004779491348193,1,1
